date,game,category,sales,first_commission,final_commission
q2-2017,FINO,lottery,104591.5,8367.32,8200.59
q2-2017,JACKPOT,lottery,14209.5,1705.14,1894.17
q2-2017,LOTO,lottery,1237,148.44,178.81
q2-2017,SEVEN-IN-ROW,lottery,858,102.96,99.13
q2-2017,LUCKY-3,lottery,452.5,36.2,41.5
q2-2017,PLUS-5,lottery,128.5,15.42,6.12
q2-2017,CAST WED,bettting,30.75,3.69,4.6
q2-2017,CAST SAT,bettting,47.75,5.73,6.45
q2-2017,CAST SUN,bettting,112.25,13.47,15.97
q2-2017,CASTGOALS,bettting,36.75,4.41,5.59
q2-2017,GREYHOUNDS,bettting,0,0,0
q2-2017,BET PRE_1,bettting,9941.5,298.33,267.63
q2-2017,BET PRE_2,bettting,6356,349.61,408.7
q2-2017,BET PRE_3,bettting,8843.75,884.58,763.36
q2-2017,BET PRE_4,bettting,17639,2204.89,1974
q2-2017,BET LIVE_1,bettting,5791.25,173.79,210.65
q2-2017,BET LIVE_2,bettting,514.75,28.4,32.22
q2-2017,BET LIVE_3,bettting,285.25,28.53,27.47
q2-2017,BET LIVE_4,bettting,253,31.7,32.76
q2-2017,BET LIVE_5+,bettting,192,24.03,33.49
q2-2017,V-SOCCER,virtual,18629.5,880.91,706.21
q2-2017,BET SELF_1,bettting,0,0,0
q2-2017,BET SELF_2,bettting,0,0,0
q2-2017,BET SELF_3,bettting,0,0,0
q2-2017,BET SELF_4,bettting,0,0,0
q2-2017,V-SOCCER SELF_1,virtual,0,0,0
q2-2017,V-SOCCER SELF_2,virtual,0,0,0
q2-2017,V-SOCCER SELF_3,virtual,0,0,0
q2-2017,V-SOCCER SELF_4,virtual,0,0,0
q3-2017,FINO,lottery,116944,9355.52,8957.66
q3-2017,JACKPOT,lottery,19727,2367.24,2711.75
q3-2017,LOTO,lottery,2962.5,355.5,428.46
q3-2017,SEVEN-IN-ROW,lottery,1507.5,180.9,178.23
q3-2017,LUCKY-3,lottery,724,57.92,61.76
q3-2017,PLUS-5,lottery,233,27.96,28.03
q3-2017,CAST WED,bettting,142,17.04,21.21
q3-2017,CAST SAT,bettting,134.75,16.17,20.31
q3-2017,CAST SUN,bettting,175.75,21.09,25.88
q3-2017,CASTGOALS,bettting,14.25,1.71,2.23
q3-2017,GREYHOUNDS,bettting,82.8,6.62,6.48
q3-2017,BET PRE_1,bettting,3486.75,104.72,126.58
q3-2017,BET PRE_2,bettting,5065.75,278.64,417.31
q3-2017,BET PRE_3,bettting,11457.75,1146.03,1187.86
q3-2017,BET PRE_4,bettting,28414,3551.74,3873.54
q3-2017,BET LIVE_1,bettting,16976,509.16,665.61
q3-2017,BET LIVE_2,bettting,2376.75,130.79,180.46
q3-2017,BET LIVE_3,bettting,586.75,58.68,58.16
q3-2017,BET LIVE_4,bettting,502,62.82,65.7
q3-2017,BET LIVE_5+,bettting,7,0.88,1.16
q3-2017,V-SOCCER,virtual,28350.75,1134.03,1119.24
q3-2017,BET SELF_1,bettting,0,0,0
q3-2017,BET SELF_2,bettting,0,0,0
q3-2017,BET SELF_3,bettting,0,0,0
q3-2017,BET SELF_4,bettting,0,0,0
q3-2017,V-SOCCER SELF_1,virtual,0,0,0
q3-2017,V-SOCCER SELF_2,virtual,0,0,0
q3-2017,V-SOCCER SELF_3,virtual,0,0,0
q3-2017,V-SOCCER SELF_4,virtual,0,0,0
q4-2017,FINO,lottery,103262,8260.96,8026.15
q4-2017,JACKPOT,lottery,12111,1453.32,1622.71
q4-2017,LOTO,lottery,1839,220.68,266.4
q4-2017,SEVEN-IN-ROW,lottery,847,101.64,106.26
q4-2017,LUCKY-3,lottery,792.5,63.4,84.67
q4-2017,PLUS-5,lottery,208,24.96,31.24
q4-2017,CAST WED,bettting,10.5,1.26,1.57
q4-2017,CAST SAT,bettting,93.75,11.25,14.01
q4-2017,CAST SUN,bettting,84.5,10.14,12.94
q4-2017,CASTGOALS,bettting,9.75,1.17,1.49
q4-2017,GREYHOUNDS,bettting,46.5,3.72,3.93
q4-2017,BET PRE_1,bettting,5354.75,160.59,240.26
q4-2017,BET PRE_2,bettting,6051,332.87,465.12
q4-2017,BET PRE_3,bettting,8740.75,874.23,835.68
q4-2017,BET PRE_4,bettting,20678.75,2585.01,2710.59
q4-2017,BET LIVE_1,bettting,8965.25,267.51,347.35
q4-2017,BET LIVE_2,bettting,2040.5,112.31,145.56
q4-2017,BET LIVE_3,bettting,1695.5,169.55,153.73
q4-2017,BET LIVE_4,bettting,411.25,51.45,49.06
q4-2017,BET LIVE_5+,bettting,0,0,0
q4-2017,V-SOCCER,virtual,35338.75,1413.55,1320.16
q4-2017,BET SELF_1,bettting,2031.25,60.96,69.4
q4-2017,BET SELF_2,bettting,483.5,26.65,34.68
q4-2017,BET SELF_3,bettting,239.25,23.93,23.05
q4-2017,BET SELF_4,bettting,72,9.01,8.77
q4-2017,V-SOCCER SELF_1,virtual,0,0,0
q4-2017,V-SOCCER SELF_2,virtual,0,0,0
q4-2017,V-SOCCER SELF_3,virtual,0,0,0
q4-2017,V-SOCCER SELF_4,virtual,0,0,0
q1-2018,FINO,lottery,111115,8395,8107.55
q1-2018,JACKPOT,lottery,14784,1820.7,1799.53
q1-2018,LOTO,lottery,1676,232.48,260.05
q1-2018,SEVEN-IN-ROW,lottery,1021.5,116.12,118.48
q1-2018,LUCKY-3,lottery,776,66.73,68.87
q1-2018,PLUS-5,lottery,196,18.32,11.73
q1-2018,CAST WED,bettting,41,4.92,5.82
q1-2018,CAST SAT,bettting,19.5,2.34,2.77
q1-2018,CAST SUN,bettting,108,12.96,15.19
q1-2018,CASTGOALS,bettting,0.75,0.09,0.11
q1-2018,GREYHOUNDS,bettting,79.2,6.07,5.71
q1-2018,BET PRE_1,bettting,2007.5,57.36,73.91
q1-2018,BET PRE_2,bettting,5225.75,287.25,410.9
