date,game,category,sales,first_commission,final_commission,commission_rate_%,year,quarter,game_group
2017-04-01,FINO,lottery,104591.5,8367.32,8200.59,7.840589340433975,2017,2,FINO
2017-04-01,JACKPOT,lottery,14209.5,1705.14,1894.17,13.330307188852528,2017,2,JACKPOT
2017-04-01,LOTO,lottery,1237.0,148.44,178.81,14.455133387227162,2017,2,LOTO
2017-04-01,SEVEN-IN-ROW,lottery,858.0,102.96,99.13,11.553613053613052,2017,2,SEVEN-IN-ROW
2017-04-01,LUCKY-3,lottery,452.5,36.2,41.5,9.171270718232044,2017,2,LUCKY-3
2017-04-01,PLUS-5,lottery,128.5,15.42,6.12,4.762645914396887,2017,2,PLUS-5
2017-04-01,CAST WED,bettting,30.75,3.69,4.6,14.959349593495933,2017,2,CAST_GAMES
2017-04-01,CAST SAT,bettting,47.75,5.73,6.45,13.507853403141363,2017,2,CAST_GAMES
2017-04-01,CAST SUN,bettting,112.25,13.47,15.97,14.227171492204901,2017,2,CAST_GAMES
2017-04-01,CASTGOALS,bettting,36.75,4.41,5.59,15.210884353741497,2017,2,CAST_GAMES
2017-04-01,GREYHOUNDS,bettting,0.0,0.0,0.0,,2017,2,GREYHOUNDS
2017-04-01,BET PRE_1,bettting,9941.5,298.33,267.63,2.692048483629231,2017,2,BETTING
2017-04-01,BET PRE_2,bettting,6356.0,349.61,408.7,6.430144745122718,2017,2,BETTING
2017-04-01,BET PRE_3,bettting,8843.75,884.58,763.36,8.631632508833922,2017,2,BETTING
2017-04-01,BET PRE_4,bettting,17639.0,2204.89,1974.0,11.191110607177277,2017,2,BETTING
2017-04-01,BET LIVE_1,bettting,5791.25,173.79,210.65,3.637383984459314,2017,2,BETTING
2017-04-01,BET LIVE_2,bettting,514.75,28.4,32.22,6.259349198640117,2017,2,BETTING
2017-04-01,BET LIVE_3,bettting,285.25,28.53,27.47,9.630148992112183,2017,2,BETTING
2017-04-01,BET LIVE_4,bettting,253.0,31.7,32.76,12.948616600790514,2017,2,BETTING
2017-04-01,BET LIVE_5+,bettting,192.0,24.03,33.49,17.442708333333336,2017,2,BETTING
2017-04-01,V-SOCCER,virtual,18629.5,880.91,706.21,3.790815641858343,2017,2,VIRTUAL
2017-04-01,BET SELF_1,bettting,0.0,0.0,0.0,,2017,2,BETTING
2017-04-01,BET SELF_2,bettting,0.0,0.0,0.0,,2017,2,BETTING
2017-04-01,BET SELF_3,bettting,0.0,0.0,0.0,,2017,2,BETTING
2017-04-01,BET SELF_4,bettting,0.0,0.0,0.0,,2017,2,BETTING
2017-04-01,V-SOCCER SELF_1,virtual,0.0,0.0,0.0,,2017,2,VIRTUAL
2017-04-01,V-SOCCER SELF_2,virtual,0.0,0.0,0.0,,2017,2,VIRTUAL
2017-04-01,V-SOCCER SELF_3,virtual,0.0,0.0,0.0,,2017,2,VIRTUAL
2017-04-01,V-SOCCER SELF_4,virtual,0.0,0.0,0.0,,2017,2,VIRTUAL
2017-07-01,FINO,lottery,116944.0,9355.52,8957.66,7.659785880421397,2017,3,FINO
2017-07-01,JACKPOT,lottery,19727.0,2367.24,2711.75,13.746388198915193,2017,3,JACKPOT
2017-07-01,LOTO,lottery,2962.5,355.5,428.46,14.46278481012658,2017,3,LOTO
2017-07-01,SEVEN-IN-ROW,lottery,1507.5,180.9,178.23,11.822885572139302,2017,3,SEVEN-IN-ROW
2017-07-01,LUCKY-3,lottery,724.0,57.92,61.76,8.530386740331492,2017,3,LUCKY-3
2017-07-01,PLUS-5,lottery,233.0,27.96,28.03,12.030042918454937,2017,3,PLUS-5
2017-07-01,CAST WED,bettting,142.0,17.04,21.21,14.93661971830986,2017,3,CAST_GAMES
2017-07-01,CAST SAT,bettting,134.75,16.17,20.31,15.072356215213356,2017,3,CAST_GAMES
2017-07-01,CAST SUN,bettting,175.75,21.09,25.88,14.725462304409673,2017,3,CAST_GAMES
2017-07-01,CASTGOALS,bettting,14.25,1.71,2.23,15.649122807017543,2017,3,CAST_GAMES
2017-07-01,GREYHOUNDS,bettting,82.8,6.62,6.48,7.82608695652174,2017,3,GREYHOUNDS
2017-07-01,BET PRE_1,bettting,3486.75,104.72,126.58,3.630314763031476,2017,3,BETTING
2017-07-01,BET PRE_2,bettting,5065.75,278.64,417.31,8.237871983418053,2017,3,BETTING
2017-07-01,BET PRE_3,bettting,11457.75,1146.03,1187.86,10.367305971940388,2017,3,BETTING
2017-07-01,BET PRE_4,bettting,28414.0,3551.74,3873.54,13.63250510311818,2017,3,BETTING
2017-07-01,BET LIVE_1,bettting,16976.0,509.16,665.61,3.920888312912347,2017,3,BETTING
2017-07-01,BET LIVE_2,bettting,2376.75,130.79,180.46,7.592721152834754,2017,3,BETTING
2017-07-01,BET LIVE_3,bettting,586.75,58.68,58.16,9.912228376651044,2017,3,BETTING
2017-07-01,BET LIVE_4,bettting,502.0,62.82,65.7,13.087649402390438,2017,3,BETTING
2017-07-01,BET LIVE_5+,bettting,7.0,0.88,1.16,16.57142857142857,2017,3,BETTING
2017-07-01,V-SOCCER,virtual,28350.75,1134.03,1119.24,3.947832067934711,2017,3,VIRTUAL
2017-07-01,BET SELF_1,bettting,0.0,0.0,0.0,,2017,3,BETTING
2017-07-01,BET SELF_2,bettting,0.0,0.0,0.0,,2017,3,BETTING
2017-07-01,BET SELF_3,bettting,0.0,0.0,0.0,,2017,3,BETTING
2017-07-01,BET SELF_4,bettting,0.0,0.0,0.0,,2017,3,BETTING
2017-07-01,V-SOCCER SELF_1,virtual,0.0,0.0,0.0,,2017,3,VIRTUAL
2017-07-01,V-SOCCER SELF_2,virtual,0.0,0.0,0.0,,2017,3,VIRTUAL
2017-07-01,V-SOCCER SELF_3,virtual,0.0,0.0,0.0,,2017,3,VIRTUAL
2017-07-01,V-SOCCER SELF_4,virtual,0.0,0.0,0.0,,2017,3,VIRTUAL
2017-10-01,FINO,lottery,103262.0,8260.96,8026.15,7.772607541980594,2017,4,FINO
2017-10-01,JACKPOT,lottery,12111.0,1453.32,1622.71,13.398645859136323,2017,4,JACKPOT
2017-10-01,LOTO,lottery,1839.0,220.68,266.4,14.486133768352364,2017,4,LOTO
2017-10-01,SEVEN-IN-ROW,lottery,847.0,101.64,106.26,12.545454545454545,2017,4,SEVEN-IN-ROW
2017-10-01,LUCKY-3,lottery,792.5,63.4,84.67,10.68391167192429,2017,4,LUCKY-3
2017-10-01,PLUS-5,lottery,208.0,24.96,31.24,15.019230769230768,2017,4,PLUS-5
2017-10-01,CAST WED,bettting,10.5,1.26,1.57,14.952380952380953,2017,4,CAST_GAMES
2017-10-01,CAST SAT,bettting,93.75,11.25,14.01,14.943999999999999,2017,4,CAST_GAMES
2017-10-01,CAST SUN,bettting,84.5,10.14,12.94,15.313609467455622,2017,4,CAST_GAMES
2017-10-01,CASTGOALS,bettting,9.75,1.17,1.49,15.282051282051281,2017,4,CAST_GAMES
2017-10-01,GREYHOUNDS,bettting,46.5,3.72,3.93,8.451612903225806,2017,4,GREYHOUNDS
2017-10-01,BET PRE_1,bettting,5354.75,160.59,240.26,4.48685746300014,2017,4,BETTING
2017-10-01,BET PRE_2,bettting,6051.0,332.87,465.12,7.686663361427863,2017,4,BETTING
2017-10-01,BET PRE_3,bettting,8740.75,874.23,835.68,9.560735634813945,2017,4,BETTING
2017-10-01,BET PRE_4,bettting,20678.75,2585.01,2710.59,13.108094057909693,2017,4,BETTING
2017-10-01,BET LIVE_1,bettting,8965.25,267.51,347.35,3.8744039485792365,2017,4,BETTING
2017-10-01,BET LIVE_2,bettting,2040.5,112.31,145.56,7.133545699583435,2017,4,BETTING
2017-10-01,BET LIVE_3,bettting,1695.5,169.55,153.73,9.066941905042759,2017,4,BETTING
2017-10-01,BET LIVE_4,bettting,411.25,51.45,49.06,11.929483282674774,2017,4,BETTING
2017-10-01,BET LIVE_5+,bettting,0.0,0.0,0.0,,2017,4,BETTING
2017-10-01,V-SOCCER,virtual,35338.75,1413.55,1320.16,3.7357291924587033,2017,4,VIRTUAL
2017-10-01,BET SELF_1,bettting,2031.25,60.96,69.4,3.4166153846153846,2017,4,BETTING
2017-10-01,BET SELF_2,bettting,483.5,26.65,34.68,7.172699069286454,2017,4,BETTING
2017-10-01,BET SELF_3,bettting,239.25,23.93,23.05,9.634273772204807,2017,4,BETTING
2017-10-01,BET SELF_4,bettting,72.0,9.01,8.77,12.180555555555555,2017,4,BETTING
2017-10-01,V-SOCCER SELF_1,virtual,0.0,0.0,0.0,,2017,4,VIRTUAL
2017-10-01,V-SOCCER SELF_2,virtual,0.0,0.0,0.0,,2017,4,VIRTUAL
2017-10-01,V-SOCCER SELF_3,virtual,0.0,0.0,0.0,,2017,4,VIRTUAL
2017-10-01,V-SOCCER SELF_4,virtual,0.0,0.0,0.0,,2017,4,VIRTUAL
2018-01-01,FINO,lottery,111115.0,8395.0,8107.55,7.296539621113261,2018,1,FINO
2018-01-01,JACKPOT,lottery,14784.0,1820.7,1799.53,12.172145562770563,2018,1,JACKPOT
2018-01-01,LOTO,lottery,1676.0,232.48,260.05,15.516109785202865,2018,1,LOTO
2018-01-01,SEVEN-IN-ROW,lottery,1021.5,116.12,118.48,11.598629466470877,2018,1,SEVEN-IN-ROW
2018-01-01,LUCKY-3,lottery,776.0,66.73,68.87,8.875000000000002,2018,1,LUCKY-3
2018-01-01,PLUS-5,lottery,196.0,18.32,11.73,5.98469387755102,2018,1,PLUS-5
2018-01-01,CAST WED,bettting,41.0,4.92,5.82,14.195121951219514,2018,1,CAST_GAMES
2018-01-01,CAST SAT,bettting,19.5,2.34,2.77,14.205128205128206,2018,1,CAST_GAMES
2018-01-01,CAST SUN,bettting,108.0,12.96,15.19,14.064814814814813,2018,1,CAST_GAMES
2018-01-01,CASTGOALS,bettting,0.75,0.09,0.11,14.666666666666666,2018,1,CAST_GAMES
2018-01-01,GREYHOUNDS,bettting,79.2,6.07,5.71,7.2095959595959584,2018,1,GREYHOUNDS
2018-01-01,BET PRE_1,bettting,2007.5,57.36,73.91,3.6816936488169363,2018,1,BETTING
2018-01-01,BET PRE_2,bettting,5225.75,287.25,410.9,7.862986174233363,2018,1,BETTING
2018-01-01,BET PRE_3,bettting,8901.0,829.42,852.87,9.581732389619143,2018,1,BETTING
2018-01-01,BET PRE_4,bettting,21830.5,2655.6,2743.2,12.565905499186917,2018,1,BETTING
2018-01-01,BET LIVE_1,bettting,0.0,0.0,0.0,,2018,1,BETTING
2018-01-01,BET LIVE_2,bettting,0.0,0.0,0.0,,2018,1,BETTING
2018-01-01,BET LIVE_3,bettting,0.0,0.0,0.0,,2018,1,BETTING
2018-01-01,BET LIVE_4,bettting,0.0,0.0,0.0,,2018,1,BETTING
2018-01-01,BET LIVE_5+,bettting,0.0,0.0,0.0,,2018,1,BETTING
2018-01-01,V-SOCCER,virtual,44388.75,1599.91,1689.28,3.8056489538452873,2018,1,VIRTUAL
2018-01-01,BET SELF_1,bettting,6535.0,184.43,183.04,2.8009181331293034,2018,1,BETTING
2018-01-01,BET SELF_2,bettting,1079.0,59.44,62.69,5.810009267840592,2018,1,BETTING
2018-01-01,BET SELF_3,bettting,555.0,51.78,45.72,8.237837837837837,2018,1,BETTING
2018-01-01,BET SELF_4,bettting,158.0,19.16,17.58,11.126582278481012,2018,1,BETTING
2018-01-01,V-SOCCER SELF_1,virtual,0.0,0.0,0.0,,2018,1,VIRTUAL
2018-01-01,V-SOCCER SELF_2,virtual,0.0,0.0,0.0,,2018,1,VIRTUAL
2018-01-01,V-SOCCER SELF_3,virtual,0.0,0.0,0.0,,2018,1,VIRTUAL
2018-01-01,V-SOCCER SELF_4,virtual,0.0,0.0,0.0,,2018,1,VIRTUAL
2018-04-01,FINO,lottery,106116.0,7746.51,8024.33,7.561847412265823,2018,2,FINO
2018-04-01,JACKPOT,lottery,14565.5,1820.77,1803.72,12.383508976691497,2018,2,JACKPOT
2018-04-01,LOTO,lottery,2630.5,386.75,394.54,14.998669454476335,2018,2,LOTO
2018-04-01,SEVEN-IN-ROW,lottery,1003.5,111.43,124.35,12.391629297458893,2018,2,SEVEN-IN-ROW
2018-04-01,LUCKY-3,lottery,642.5,56.58,58.9,9.167315175097276,2018,2,LUCKY-3
2018-04-01,PLUS-5,lottery,193.0,16.19,13.97,7.238341968911917,2018,2,PLUS-5
2018-04-01,CAST WED,bettting,7.25,0.87,1.03,14.206896551724139,2018,2,CAST_GAMES
2018-04-01,CAST SAT,bettting,59.0,7.08,8.37,14.1864406779661,2018,2,CAST_GAMES
2018-04-01,CAST SUN,bettting,61.75,7.41,8.85,14.331983805668017,2018,2,CAST_GAMES
2018-04-01,CASTGOALS,bettting,5.5,0.66,0.8,14.545454545454547,2018,2,CAST_GAMES
